"WorkItemID","RequirementID","Priority","SubsystemCode","AssignedToID","AssignedToName","OpenedDate","ClosedDate","EstimateHours","ActualHours","WorkItemStatus"
"WI-0015","REQ-0007","ShouldShip","GND-CTRL","P-008","Hiroshi Ibarra","2025-06-12","","20.4","","InProgress"
"WI-0016","REQ-0008","MustShip","COMM-LNK","P-003","Camille Villalobos","2025-06-29","2025-07-27","32.5","35.1","Closed"
"WI-0017","REQ-0008","MustShip","COMM-LNK","P-003","Camille Villalobos","2026-05-27","2026-06-22","5.0","5.2","Closed"
"WI-0018","REQ-0008","MustShip","COMM-LNK","P-015","Olabisi Jindal","2025-07-26","","10.0","","Open"
"WI-0019","REQ-0009","MustShip","REL-MECH","P-008","Hiroshi Ibarra","2025-07-23","2025-07-26","22.0","16.5","Closed"
"WI-0020","REQ-0009","MustShip","REL-MECH","P-013","Mei Thackeray","2026-01-18","2026-03-11","35.8","49.2","Closed"
"WI-0021","REQ-0009","MustShip","REL-MECH","P-007","Grace Baptiste","2025-06-30","2025-07-22","4.2","4.2","Closed"
"WI-0022","REQ-0010","MustShip","GND-CTRL","P-017","Quentin Zielinski","2026-04-10","2026-05-15","22.3","25.9","Closed"
"WI-0023","REQ-0011","ShouldShip","NAV-SENS","P-011","Katya Fairweather","2025-01-06","2025-02-11","8.6","10.1","Closed"
"WI-0024","REQ-0011","ShouldShip","NAV-SENS","P-002","Bruno Oyelaran","2025-09-18","2025-10-15","29.4","31.2","Closed"
"WI-0025","REQ-0012","MustShip","DIAG-LOG","P-009","Imani Petrovic","2025-09-26","2025-10-09","10.1","8.9","Closed"
"WI-0026","REQ-0012","MustShip","DIAG-LOG","P-018","Rafael Grigorescu","2026-02-15","2026-03-27","8.5","10.4","Closed"
"WI-0027","REQ-0013","ShouldShip","PWR-MGMT","P-004","Dmitri Eriksen","2026-01-20","2026-01-28","27.0","22.2","Closed"
"WI-0028","REQ-0014","MustShip","STRUCT-I","P-018","Rafael Grigorescu","2026-05-17","2026-05-26","21.5","18.0","Closed"
"WI-0029","REQ-0014","MustShip","STRUCT-I","P-003","Camille Villalobos","2026-05-08","2026-07-04","4.1","6.0","Closed"
"WI-0030","REQ-0015","MustShip","PWR-MGMT","P-002","Bruno Oyelaran","2025-12-08","2026-01-14","28.1","33.6","Closed"
"WI-0031","REQ-0015","MustShip","PWR-MGMT","P-017","Quentin Zielinski","2026-04-10","2026-05-07","3.0","3.2","Closed"
"WI-0032","REQ-0015","MustShip","PWR-MGMT","P-009","Imani Petrovic","2025-05-13","2025-05-16","6.8","5.2","Closed"
"WI-0033","REQ-0015","MustShip","PWR-MGMT","P-008","Hiroshi Ibarra","2025-03-15","2025-03-09","32.4","40.6","Closed"
"WI-0034","REQ-0016","MustShip","GND-CTRL","P-006","Farid Saltzman","2025-03-21","2025-04-11","2.0","2.0","Closed"
"WI-0035","REQ-0017","Nice","DIAG-LOG","P-006","Farid Saltzman","2025-09-19","2025-10-04","18.2","16.5","Closed"
"WI-0036","REQ-0018","MustShip","STRUCT-I","P-002","Bruno Oyelaran","2026-01-05","","23.0","","InProgress"
"WI-0037","REQ-0019","MustShip","NAV-SENS","P-009","Imani Petrovic","2025-05-10","2025-07-06","17.5","25.2","Closed"
"WI-0038","REQ-0020","ShouldShip","FLT-CTRL","P-016","Priya Quintana","2025-09-01","2025-10-26","9.8","13.9","Closed"
"WI-0039","REQ-0020","ShouldShip","FLT-CTRL","P-018","Rafael Grigorescu","2026-04-18","2026-06-05","8.1","10.8","Closed"
"WI-0040","REQ-0020","ShouldShip","FLT-CTRL","P-020","Tomas Ustinov","2025-09-16","2025-09-24","5.5","4.5","Closed"
"WI-0041","REQ-0021","ShouldShip","PWR-MGMT","P-007","Grace Baptiste","2025-01-28","2025-02-15","32.0","30.4","Closed"
"WI-0042","REQ-0021","ShouldShip","PWR-MGMT","P-018","Rafael Grigorescu","2025-10-04","2025-11-06","15.0","17.1","Closed"
"WI-0043","REQ-0022","MustShip","REL-MECH","P-001","Aditi Halvorsen","2026-04-19","2026-06-08","28.8","39.0","Closed"
"WI-0044","REQ-0023","MustShip","NAV-SENS","P-008","Hiroshi Ibarra","2025-08-07","2025-09-06","23.3","25.7","Closed"
"WI-0045","REQ-0024","Nice","GND-CTRL","P-008","Hiroshi Ibarra","2025-08-19","2025-08-27","24.8","20.4","Closed"
"WI-0046","REQ-0024","Nice","GND-CTRL","P-009","Imani Petrovic","2025-08-11","2025-09-06","24.3","25.6","Closed"
"WI-0047","REQ-0024","Nice","GND-CTRL","P-018","Rafael Grigorescu","2025-05-27","2025-07-21","30.3","43.2","Closed"
"WI-0048","REQ-0025","MustShip","FLT-CTRL","P-015","Olabisi Jindal","2025-12-06","2026-01-19","11.8","15.0","Closed"
"WI-0049","REQ-0026","MustShip","REL-MECH","P-020","Tomas Ustinov","2026-01-15","2026-02-17","3.8","4.4","Closed"
"WI-0050","REQ-0027","MustShip","COMM-LNK","P-020","Tomas Ustinov","2025-06-18","2025-06-12","10.5","12.6","Closed"
"WI-0051","REQ-0028","MustShip","NAV-SENS","P-009","Imani Petrovic","2026-03-05","2026-04-28","33.5","47.2","Closed"
"WI-0052","REQ-0029","MustShip","NAV-SENS","P-004","Dmitri Eriksen","2025-08-02","2025-09-23","31.7","43.8","Closed"
"WI-0053","REQ-0030","ShouldShip","COMM-LNK","P-005","Elena Lindqvist","2025-10-21","2025-12-17","2.3","3.3","Closed"
"WI-0054","REQ-0030","ShouldShip","COMM-LNK","P-001","Aditi Halvorsen","2025-05-12","2025-05-29","11.2","10.5","Closed"
"WI-0055","REQ-0030","ShouldShip","COMM-LNK","P-001","Aditi Halvorsen","2026-04-29","2026-05-24","32.8","33.8","Closed"
"WI-0056","REQ-0031","Nice","REL-MECH","P-010","Jonas Weatherby","2025-10-22","2025-11-01","5.2","4.4","Closed"
"WI-0057","REQ-0031","Nice","REL-MECH","P-002","Bruno Oyelaran","2025-09-12","2025-10-14","2.7","3.1","Closed"
"WI-0058","REQ-0031","Nice","REL-MECH","P-016","Priya Quintana","2025-10-20","2025-11-18","11.7","12.7","Closed"
"WI-0059","REQ-0031","Nice","REL-MECH","P-020","Tomas Ustinov","2025-08-13","2025-09-16","29.3","33.6","Closed"
"WI-0060","REQ-0032","ShouldShip","COMM-LNK","P-020","Tomas Ustinov","2026-05-29","2026-06-15","30.6","28.4","Closed"
"WI-0061","REQ-0032","ShouldShip","COMM-LNK","P-007","Grace Baptiste","2026-02-28","2026-03-31","13.5","15.1","Closed"
"WI-0062","REQ-0033","MustShip","GND-CTRL","P-021","Ulrike Dalgleish","2025-07-12","2025-09-02","14.5","20.1","Closed"
"WI-0063","REQ-0034","MustShip","FLT-CTRL","P-007","Grace Baptiste","2025-11-04","2025-12-27","17.6","24.6","Closed"
"WI-0064","REQ-0034","MustShip","FLT-CTRL","P-001","Aditi Halvorsen","2026-06-29","2026-07-13","21.2","19.1","Closed"
"WI-0065","REQ-0035","MustShip","FLT-CTRL","P-021","Ulrike Dalgleish","2026-05-24","2026-07-17","29.3","41.3","Closed"
"WI-0066","REQ-0036","MustShip","FLT-CTRL","P-010","Jonas Weatherby","2025-08-12","2025-09-17","8.9","10.5","Closed"
"WI-0067","REQ-0036","MustShip","FLT-CTRL","P-008","Hiroshi Ibarra","2026-06-24","2026-08-07","27.4","35.1","Closed"
"WI-0068","REQ-0037","ShouldShip","REL-MECH","P-009","Imani Petrovic","2026-01-28","2026-02-06","34.9","29.1","Closed"
"WI-0069","REQ-0037","ShouldShip","REL-MECH","P-007","Grace Baptiste","2025-03-10","2025-04-10","2.6","2.9","Closed"
"WI-0070","REQ-0037","ShouldShip","REL-MECH","P-008","Hiroshi Ibarra","2025-05-06","2025-05-31","23.3","24.2","Closed"
"WI-0071","REQ-0038","MustShip","NAV-SENS","P-020","Tomas Ustinov","2025-04-24","2025-05-01","19.8","16.0","Closed"
"WI-0072","REQ-0038","MustShip","NAV-SENS","P-002","Bruno Oyelaran","2025-08-26","2025-10-22","23.7","34.1","Closed"
"WI-0073","REQ-0038","MustShip","NAV-SENS","P-009","Imani Petrovic","2025-01-24","2025-02-09","17.5","16.2","Closed"
"WI-0074","REQ-0039","ShouldShip","GND-CTRL","P-011","Katya Fairweather","2025-01-21","2025-03-08","33.1","43.1","Closed"
"WI-0075","REQ-0039","ShouldShip","GND-CTRL","P-001","Aditi Halvorsen","2026-01-17","2026-03-04","28.3","36.8","Closed"
"WI-0076","REQ-0039","ShouldShip","GND-CTRL","P-007","Grace Baptiste","2025-02-02","2025-03-31","19.9","28.9","Closed"
"WI-0077","REQ-0040","ShouldShip","NAV-SENS","P-015","Olabisi Jindal","2025-05-12","2025-05-25","13.1","11.5","Closed"
"WI-0078","REQ-0041","MustShip","DIAG-LOG","P-021","Ulrike Dalgleish","2025-12-08","2026-01-21","8.5","10.9","Closed"
"WI-0079","REQ-0042","MustShip","COMM-LNK","P-012","Liam Moreau","2026-03-25","2026-04-06","17.6","15.4","Closed"
"WI-0080","REQ-0042","MustShip","COMM-LNK","P-021","Ulrike Dalgleish","2026-03-09","2026-03-12","25.0","18.9","Closed"
"WI-0081","REQ-0042","MustShip","COMM-LNK","P-011","Katya Fairweather","2026-06-15","2026-07-22","31.8","37.8","Closed"
"WI-0082","REQ-0043","MustShip","FLT-CTRL","P-010","Jonas Weatherby","2026-02-17","2026-03-08","35.3","34.0","Closed"
"WI-0083","REQ-0044","ShouldShip","PWR-MGMT","P-001","Aditi Halvorsen","2025-02-27","2025-04-24","14.5","20.6","Closed"
"WI-0084","REQ-0044","ShouldShip","PWR-MGMT","P-020","Tomas Ustinov","2025-10-28","2025-11-25","24.7","26.6","Closed"
"WI-0085","REQ-0044","ShouldShip","PWR-MGMT","P-006","Farid Saltzman","2025-12-24","2026-01-06","20.8","18.3","Closed"
"WI-0086","REQ-0045","MustShip","COMM-LNK","P-013","Mei Thackeray","2026-02-15","2026-04-03","31.5","41.3","Closed"
"WI-0087","REQ-0045","MustShip","COMM-LNK","P-019","Sana Nakamura","2025-03-27","2025-05-21","3.8","5.3","Closed"
"WI-0088","REQ-0045","MustShip","COMM-LNK","P-021","Ulrike Dalgleish","2026-05-04","2026-05-30","28.1","29.3","Closed"
"WI-0089","REQ-0046","MustShip","GND-CTRL","P-020","Tomas Ustinov","2026-04-09","2026-04-20","32.1","27.6","Closed"
"WI-0090","REQ-0046","MustShip","GND-CTRL","P-011","Katya Fairweather","2025-07-16","","34.0","","InProgress"
"WI-0091","REQ-0046","MustShip","GND-CTRL","P-004","Dmitri Eriksen","2025-05-10","2025-06-02","32.8","33.1","Closed"
"WI-0092","REQ-0047","ShouldShip","NAV-SENS","P-005","Elena Lindqvist","2026-06-23","2026-07-18","13.7","14.1","Closed"
"WI-0093","REQ-0048","Nice","COMM-LNK","P-002","Bruno Oyelaran","2025-11-24","2026-01-15","15.6","21.5","Closed"
"WI-0094","REQ-0048","Nice","COMM-LNK","P-006","Farid Saltzman","2025-11-04","2025-12-04","30.5","33.7","Closed"
"WI-0095","REQ-0048","Nice","COMM-LNK","P-010","Jonas Weatherby","2025-12-01","2025-12-17","16.4","15.2","Closed"
"WI-0096","REQ-0049","MustShip","COMM-LNK","P-002","Bruno Oyelaran","2026-05-21","2026-05-28","9.8","8.0","Closed"
"WI-0097","REQ-0049","MustShip","COMM-LNK","P-006","Farid Saltzman","2025-12-06","2026-01-15","12.0","14.8","Closed"
"WI-0098","REQ-0050","MustShip","PWR-MGMT","P-010","Jonas Weatherby","2025-07-03","2025-07-17","4.0","3.6","Closed"
"WI-0099","REQ-0050","MustShip","PWR-MGMT","P-006","Farid Saltzman","2025-12-15","2026-01-24","35.0","42.9","Closed"
"WI-0100","REQ-0051","MustShip","COMM-LNK","P-021","Ulrike Dalgleish","2026-05-10","2026-06-04","19.1","19.8","Closed"
"WI-0101","REQ-0051","MustShip","COMM-LNK","P-016","Priya Quintana","2026-03-13","2026-04-08","3.8","3.9","Closed"
"WI-0102","REQ-0051","MustShip","COMM-LNK","P-013","Mei Thackeray","2026-01-30","2026-03-18","20.8","27.4","Closed"
"WI-0103","REQ-0052","ShouldShip","NAV-SENS","P-020","Tomas Ustinov","2025-08-09","2025-09-26","20.9","27.8","Closed"
"WI-0104","REQ-0052","ShouldShip","NAV-SENS","P-011","Katya Fairweather","2026-06-17","2026-08-13","15.5","22.3","Closed"
"WI-0105","REQ-0052","ShouldShip","NAV-SENS","P-019","Sana Nakamura","2025-07-22","2025-08-26","9.4","11.0","Closed"
"WI-0106","REQ-0053","MustShip","REL-MECH","P-015","Olabisi Jindal","2025-05-27","2025-07-07","18.1","22.3","Closed"
"WI-0107","REQ-0053","MustShip","REL-MECH","P-003","Camille Villalobos","2025-10-11","2025-12-01","27.3","37.3","Closed"
"WI-0108","REQ-0053","MustShip","REL-MECH","P-001","Aditi Halvorsen","2025-12-14","2026-01-07","9.7","9.9","Closed"
"WI-0109","REQ-0054","MustShip","NAV-SENS","P-015","Olabisi Jindal","2025-11-07","2025-12-13","12.7","14.9","Closed"
"WI-0110","REQ-0054","MustShip","NAV-SENS","P-009","Imani Petrovic","2025-12-14","2026-01-09","19.0","19.9","Closed"
"WI-0111","REQ-0056","Nice","REL-MECH","P-005","Elena Lindqvist","2025-04-22","2025-05-01","8.9","7.4","Closed"
"WI-0112","REQ-0056","Nice","REL-MECH","P-021","Ulrike Dalgleish","2026-01-20","","10.8","","InProgress"
"WI-0113","REQ-0056","Nice","REL-MECH","P-020","Tomas Ustinov","2026-05-03","","31.3","","InProgress"
"WI-0114","REQ-0056","Nice","REL-MECH","P-013","Mei Thackeray","2025-03-19","2025-03-22","31.4","23.6","Closed"
"WI-0115","REQ-0057","ShouldShip","FLT-CTRL","P-006","Farid Saltzman","2025-05-13","2025-05-25","23.4","20.3","Closed"
"WI-0116","REQ-0057","ShouldShip","FLT-CTRL","P-006","Farid Saltzman","2025-04-09","2025-06-03","31.1","44.0","Closed"
"WI-0117","REQ-0058","Nice","FLT-CTRL","P-010","Jonas Weatherby","2025-07-31","2025-09-05","20.4","23.9","Closed"
"WI-0118","REQ-0058","Nice","FLT-CTRL","P-004","Dmitri Eriksen","2026-06-28","","23.0","","Open"
"WI-0119","REQ-0059","MustShip","PWR-MGMT","P-021","Ulrike Dalgleish","2025-02-20","2025-04-17","28.8","41.3","Closed"
"WI-0120","REQ-0059","MustShip","PWR-MGMT","P-007","Grace Baptiste","2025-11-23","2025-12-30","8.5","10.1","Closed"
"WI-0121","REQ-0060","MustShip","FLT-CTRL","P-009","Imani Petrovic","2025-05-18","2025-06-04","34.7","32.5","Closed"
"WI-0122","REQ-0060","MustShip","FLT-CTRL","P-020","Tomas Ustinov","2026-02-22","2026-04-03","3.7","4.5","Closed"
"WI-0123","REQ-0061","Nice","PWR-MGMT","P-019","Sana Nakamura","2026-05-05","2026-05-17","27.9","24.1","Closed"
"WI-0124","REQ-0061","Nice","PWR-MGMT","P-005","Elena Lindqvist","2026-03-01","2026-03-08","13.4","10.9","Closed"
"WI-0125","REQ-0061","Nice","PWR-MGMT","P-002","Bruno Oyelaran","2025-07-13","2025-08-05","18.9","19.2","Closed"
"WI-0126","REQ-0062","MustShip","REL-MECH","P-002","Bruno Oyelaran","2025-07-02","2025-08-27","14.8","21.2","Closed"
"WI-0127","REQ-0062","MustShip","REL-MECH","P-018","Rafael Grigorescu","2026-04-12","2026-06-06","27.9","39.8","Closed"
"WI-0128","REQ-0063","MustShip","GND-CTRL","P-017","Quentin Zielinski","2026-02-27","2026-03-10","15.4","13.3","Closed"
"WI-0129","REQ-0063","MustShip","GND-CTRL","P-002","Bruno Oyelaran","2025-07-27","2025-08-10","12.4","11.0","Closed"
"WI-0130","REQ-0063","MustShip","GND-CTRL","P-018","Rafael Grigorescu","2025-01-25","2025-03-23","35.8","51.4","Closed"
"WI-0131","REQ-0064","Nice","FLT-CTRL","P-010","Jonas Weatherby","2025-10-24","","8.9","","InProgress"
"WI-0132","REQ-0064","Nice","FLT-CTRL","P-007","Grace Baptiste","2025-12-29","","13.1","","Open"
"WI-0133","REQ-0064","Nice","FLT-CTRL","P-004","Dmitri Eriksen","2025-09-26","2025-10-08","2.1","1.8","Closed"
"WI-0134","REQ-0065","Nice","DIAG-LOG","P-005","Elena Lindqvist","2026-01-23","2026-03-11","31.2","41.3","Closed"
"WI-0135","REQ-0065","Nice","DIAG-LOG","P-012","Liam Moreau","2026-05-22","2026-05-31","13.9","11.5","Closed"
"WI-0136","REQ-0065","Nice","DIAG-LOG","P-005","Elena Lindqvist","2026-06-12","2026-06-18","2.5","2.0","Closed"
"WI-0137","REQ-0066","Nice","PWR-MGMT","P-020","Tomas Ustinov","2025-06-22","2025-08-06","9.0","11.7","Closed"
"WI-0138","REQ-0066","Nice","PWR-MGMT","P-012","Liam Moreau","2025-07-06","2025-07-22","2.7","2.5","Closed"
"WI-0139","REQ-0066","Nice","PWR-MGMT","P-017","Quentin Zielinski","2025-08-04","2025-09-01","10.5","11.3","Closed"
"WI-0140","REQ-0067","MustShip","GND-CTRL","P-014","Nils Castellan","2026-05-23","2026-06-05","33.9","29.8","Closed"
"WI-0141","REQ-0068","MustShip","REL-MECH","P-019","Sana Nakamura","2025-03-27","2025-04-10","9.1","8.2","Closed"
"WI-0142","REQ-0068","MustShip","REL-MECH","P-009","Imani Petrovic","2025-01-15","2025-03-08","17.2","23.7","Closed"
"WI-0143","REQ-0069","MustShip","FLT-CTRL","P-013","Mei Thackeray","2025-02-01","","15.9","","Open"
"WI-0144","REQ-0069","MustShip","FLT-CTRL","P-005","Elena Lindqvist","2025-06-12","2025-06-06","19.3","18.2","Closed"
"WI-0145","REQ-0070","ShouldShip","COMM-LNK","P-002","Bruno Oyelaran","2025-11-30","2026-01-21","24.5","33.7","Closed"
"WI-0146","REQ-0070","ShouldShip","COMM-LNK","P-007","Grace Baptiste","2025-04-15","2025-05-04","35.7","34.4","Closed"
"WI-0147","REQ-0071","MustShip","COMM-LNK","P-003","Camille Villalobos","2026-06-01","2026-07-17","23.9","31.2","Closed"
"WI-0148","REQ-0072","MustShip","REL-MECH","P-005","Elena Lindqvist","2025-06-25","2025-08-12","8.0","10.7","Closed"
"WI-0149","REQ-0072","MustShip","REL-MECH","P-017","Quentin Zielinski","2025-12-08","2025-12-17","18.9","15.9","Closed"
"WI-0150","REQ-0073","ShouldShip","COMM-LNK","P-002","Bruno Oyelaran","2025-04-24","2025-06-19","15.9","22.7","Closed"
"WI-0151","REQ-0073","ShouldShip","COMM-LNK","P-005","Elena Lindqvist","2025-05-08","2025-05-20","19.0","16.6","Closed"
"WI-0152","REQ-0074","MustShip","STRUCT-I","P-005","Elena Lindqvist","2025-11-18","2026-01-01","6.0","7.7","Closed"
"WI-0153","REQ-0074","MustShip","STRUCT-I","P-018","Rafael Grigorescu","2025-10-08","2025-10-21","4.3","3.8","Closed"
"WI-0154","REQ-0075","MustShip","PWR-MGMT","P-011","Katya Fairweather","2025-07-13","2025-08-07","6.1","6.3","Closed"
"WI-0155","REQ-0075","MustShip","PWR-MGMT","P-007","Grace Baptiste","2025-05-28","2025-06-05","10.6","8.7","Closed"
"WI-0156","REQ-0076","Nice","GND-CTRL","P-009","Imani Petrovic","2026-05-03","2026-06-05","16.5","18.7","Closed"
"WI-0157","REQ-0076","Nice","GND-CTRL","P-019","Sana Nakamura","2026-06-21","2026-07-14","14.4","14.6","Closed"
"WI-0158","REQ-0077","ShouldShip","REL-MECH","P-012","Liam Moreau","2026-06-03","2026-07-30","22.6","32.5","Closed"
"WI-0159","REQ-0077","ShouldShip","REL-MECH","P-012","Liam Moreau","2025-05-20","2025-06-07","14.4","13.7","Closed"
"WI-0160","REQ-0077","ShouldShip","REL-MECH","P-001","Aditi Halvorsen","2025-07-01","2025-08-19","35.2","47.4","Closed"
"WI-0161","REQ-0078","ShouldShip","PWR-MGMT","P-020","Tomas Ustinov","2025-07-30","2025-09-04","21.9","25.7","Closed"
"WI-0162","REQ-0078","ShouldShip","PWR-MGMT","P-005","Elena Lindqvist","2026-03-07","2026-03-21","13.5","12.1","Closed"
"WI-0163","REQ-0078","ShouldShip","PWR-MGMT","P-016","Priya Quintana","2026-02-16","2026-03-12","2.8","2.9","Closed"
"WI-0164","REQ-0078","ShouldShip","PWR-MGMT","P-015","Olabisi Jindal","2025-12-20","2025-12-23","16.8","12.7","Closed"
"WI-0165","REQ-0079","Nice","DIAG-LOG","P-019","Sana Nakamura","2025-08-02","2025-09-26","17.4","24.7","Closed"
"WI-0166","REQ-0080","MustShip","FLT-CTRL","P-005","Elena Lindqvist","2025-11-29","","15.2","","Open"
"WI-0167","REQ-0081","MustShip","PWR-MGMT","P-019","Sana Nakamura","2025-10-06","2025-11-03","35.5","38.1","Closed"
"WI-0168","REQ-0081","MustShip","PWR-MGMT","P-002","Bruno Oyelaran","2025-11-22","2026-01-07","12.7","16.5","Closed"
"WI-0169","REQ-0082","ShouldShip","NAV-SENS","P-010","Jonas Weatherby","2026-03-02","2026-03-15","28.8","25.6","Closed"
"WI-0170","REQ-0083","MustShip","REL-MECH","P-006","Farid Saltzman","2025-05-23","2025-07-04","33.6","42.0","Closed"
"WI-0171","REQ-0083","MustShip","REL-MECH","P-017","Quentin Zielinski","2025-05-05","2025-05-12","17.0","13.7","Closed"
"WI-0172","REQ-0083","MustShip","REL-MECH","P-009","Imani Petrovic","2025-01-25","2025-03-17","9.3","12.7","Closed"
"WI-0173","REQ-0085","MustShip","REL-MECH","P-011","Katya Fairweather","2026-04-04","2026-05-24","31.1","42.2","Closed"
"WI-0174","REQ-0085","MustShip","REL-MECH","P-011","Katya Fairweather","2026-02-27","2026-03-04","17.2","13.5","Closed"
"WI-0175","REQ-0086","ShouldShip","PWR-MGMT","P-002","Bruno Oyelaran","2026-02-09","2026-03-01","11.1","10.7","Closed"
"WI-0176","REQ-0087","ShouldShip","GND-CTRL","P-011","Katya Fairweather","2025-01-13","2025-03-08","32.6","46.0","Closed"
"WI-0177","REQ-0088","ShouldShip","COMM-LNK","P-016","Priya Quintana","2025-12-21","2025-12-27","18.7","14.7","Closed"
"WI-0178","REQ-0088","ShouldShip","COMM-LNK","P-018","Rafael Grigorescu","2025-06-18","2025-06-27","13.0","10.9","Closed"
"WI-0179","REQ-0088","ShouldShip","COMM-LNK","P-012","Liam Moreau","2025-04-26","","3.8","","InProgress"
"WI-0180","REQ-0089","MustShip","REL-MECH","P-009","Imani Petrovic","2025-10-23","2025-11-04","25.5","22.3","Closed"
"WI-0181","REQ-0089","MustShip","REL-MECH","P-012","Liam Moreau","2025-06-17","2025-08-09","24.8","34.7","Closed"
"WI-0182","REQ-0089","MustShip","REL-MECH","P-010","Jonas Weatherby","2026-05-30","","13.4","","Open"
"WI-0183","REQ-0090","ShouldShip","FLT-CTRL","P-018","Rafael Grigorescu","2025-10-29","","28.6","","Open"
"WI-0184","REQ-0090","ShouldShip","FLT-CTRL","P-014","Nils Castellan","2025-06-08","2025-08-02","5.7","8.1","Closed"
"WI-0185","REQ-0091","ShouldShip","STRUCT-I","P-003","Camille Villalobos","2025-06-24","2025-07-20","10.3","10.8","Closed"
"WI-0186","REQ-0091","ShouldShip","STRUCT-I","P-004","Dmitri Eriksen","2026-04-30","2026-05-17","14.0","13.1","Closed"
"WI-0187","REQ-0091","ShouldShip","STRUCT-I","P-008","Hiroshi Ibarra","2025-05-25","2025-07-04","20.7","25.3","Closed"
"WI-0188","REQ-0092","MustShip","STRUCT-I","P-011","Katya Fairweather","2025-03-20","2025-05-09","8.2","11.1","Closed"
"WI-0189","REQ-0092","MustShip","STRUCT-I","P-014","Nils Castellan","2025-07-06","2025-07-15","31.0","25.8","Closed"
"WI-0190","REQ-0093","MustShip","PWR-MGMT","P-019","Sana Nakamura","2025-02-02","2025-03-20","20.7","26.9","Closed"
"WI-0191","REQ-0093","MustShip","PWR-MGMT","P-014","Nils Castellan","2025-09-19","2025-10-28","14.0","16.9","Closed"
"WI-0192","REQ-0093","MustShip","PWR-MGMT","P-012","Liam Moreau","2025-06-24","2025-08-03","5.4","6.6","Closed"
"WI-0193","REQ-0094","MustShip","STRUCT-I","P-016","Priya Quintana","2025-06-29","2025-07-31","27.2","30.5","Closed"
"WI-0194","REQ-0094","MustShip","STRUCT-I","P-011","Katya Fairweather","2025-05-25","2025-07-21","9.7","14.0","Closed"
"WI-0195","REQ-0094","MustShip","STRUCT-I","P-016","Priya Quintana","2026-06-24","2026-07-21","33.1","35.0","Closed"
"WI-0196","REQ-0095","Nice","COMM-LNK","P-020","Tomas Ustinov","2025-05-25","2025-07-14","17.7","23.9","Closed"
"WI-0197","REQ-0095","Nice","COMM-LNK","P-015","Olabisi Jindal","2026-03-06","2026-03-31","9.0","9.3","Closed"
"WI-0198","REQ-0097","MustShip","NAV-SENS","P-017","Quentin Zielinski","2025-09-23","2025-09-26","35.7","27.1","Closed"
"WI-0199","REQ-0098","ShouldShip","REL-MECH","P-009","Imani Petrovic","2026-03-16","2026-04-19","10.9","12.6","Closed"
"WI-0200","REQ-0099","MustShip","COMM-LNK","P-005","Elena Lindqvist","2025-10-17","2025-11-27","8.8","10.9","Closed"
"WI-0201","REQ-0099","MustShip","COMM-LNK","P-012","Liam Moreau","2025-10-09","2025-11-09","26.2","29.1","Closed"
"WI-0202","REQ-0100","MustShip","PWR-MGMT","P-017","Quentin Zielinski","2025-12-31","2026-02-05","21.2","24.9","Closed"
"WI-0203","REQ-0100","MustShip","PWR-MGMT","P-008","Hiroshi Ibarra","2025-10-10","2025-10-18","27.7","22.8","Closed"
"WI-0204","REQ-0101","ShouldShip","COMM-LNK","P-001","Aditi Halvorsen","2025-03-14","","28.8","","Open"
